 12.40   , 10.18   , 14.84   
 12.48   , 9.98   , 14.45   
 12.19   , 10.12   , 15.10   
 12.38   , 9.96   , 14.86   
 12.42   , 9.94   , 14.88   
 12.64   , 10.47   , 14.77   
 12.40   , 10.16   , 15.18   
 12.52   , 9.86   , 15.25   
 12.48   , 9.96   , 15.35   
 12.48   , 10.04   , 15.47   
 12.29   , 10.16   , 15.72   
 12.27   , 10.23   , 15.88   
 12.27   , 10.31   , 15.94   
 12.21   , 10.47   , 16.02   
 12.19   , 10.49   , 16.07   
 12.23   , 10.59   , 16.29   
 12.25   , 10.63   , 16.41   
 12.23   , 10.64   , 16.45   
 12.13   , 10.72   , 16.60   
 12.15   , 10.82   , 16.64   
 12.15   , 10.84   , 16.68   
 12.15   , 10.86   , 16.78   
 12.13   , 10.94   , 16.89   
 12.09   , 10.94   , 17.07   
 12.09   , 10.96   , 17.07   
 12.05   , 11.07   , 17.13   
 12.05   , 11.04   , 17.23   
 12.05   , 11.13   , 17.29   
 12.01   , 11.11   , 17.32   
 11.99   , 11.17   , 17.32   
 11.99   , 11.23   , 17.42   
 11.97   , 11.31   , 17.50   
 11.97   , 11.33   , 17.50   
 11.93   , 11.35   , 17.50   
 11.91   , 11.39   , 17.52   
 11.88   , 11.43   , 17.50   
 11.89   , 11.46   , 17.58   
 11.86   , 11.50   , 17.60   
 11.84   , 11.50   , 17.46   
 11.84   , 11.56   , 17.42   
 11.82   , 11.56   , 17.40   
 11.82   , 11.60   , 17.27   
 11.80   , 11.56   , 17.23   
 11.74   , 11.58   , 17.23   
 11.74   , 11.58   , 17.13   
 11.72   , 11.64   , 16.97   
 11.70   , 11.68   , 16.76   
 11.62   , 11.76   , 16.74   
 11.60   , 11.78   , 16.60   
 11.58   , 11.74   , 16.43   
 11.56   , 11.84   , 16.27   
 11.54   , 11.86   , 16.13   
 11.48   , 11.80   , 16.00   
 11.46   , 11.86   , 15.80   
 11.43   , 11.86   , 15.78   
 11.43   , 11.91   , 15.55   
 11.37   , 11.93   , 15.39   
 11.33   , 11.93   , 15.25   
 11.29   , 11.95   , 15.04   
 11.25   , 11.89   , 14.92   
 11.23   , 11.97   , 14.84   
 11.15   , 11.95   , 14.61   
 11.09   , 11.95   , 14.49   
 11.07   , 11.99   , 14.47   
 11.05   , 11.99   , 14.36   
 10.98   , 12.07   , 14.24   
 10.92   , 12.07   , 14.16   
 10.86   , 12.09   , 14.02   
 10.76   , 12.09   , 13.93   
 10.74   , 12.09   , 13.79   
 10.70   , 12.07   , 13.69   
 10.61   , 12.15   , 13.71   
 10.55   , 12.15   , 13.55   
 10.51   , 12.13   , 13.55   
 10.41   , 12.09   , 13.44   
 10.35   , 12.11   , 13.38   
 10.25   , 12.21   , 13.32   
 10.14   , 12.19   , 13.24   
 10.06   , 12.13   , 13.20   
 10.02   , 12.15   , 13.16   
 9.96   , 12.25   , 13.11   
 10.00   , 12.13   , 12.89   
 9.84   , 12.19   , 12.85   
 9.71   , 12.30   , 13.03   
 9.73   , 12.23   , 12.77   
 9.53   , 12.32   , 12.87   
 9.61   , 12.29   , 12.73   
 9.45   , 12.09   , 12.91   
 9.45   , 12.27   , 12.66   
 9.28   , 12.11   , 12.79   
